Date,Bag,Shots Left (est),Grinder Setting,Grind Adjusted,Grind Time,Initial Output (g),Total Output (g),Dose (g),Time Adj (sec),Top-Up Grind (g),Over Grind Removed (g),Bean Delta,Grind Waste (g),Beans Added (g),Dose Correction Type,Correction Amount (g),Output Delta (g),Temp,Pour Delay,Pour Time (sec),Scale Time,Yield (g),Ratio,Finished Shot,Rating,Preference Rating,Rating Difference,Average Rating and Preference Rating weighted to Preference,Rated,For Others,Reference Shot,Signature Shot,Drink Type,Shot Status,Shot Classification,Fault Status,Reference Shot Type,Expression Style,Daily Driver Count,Include in Analysis,Notes,Rating ( Valid Only ),Fault Notes,Bag Opened Date,Hopper Phase,Hopper Fullness,Hopper %,Hopper Range,Hopper Range Link,Hopper Link,Taste Zone,Zone,Zone Score,Taste Score,Agreement %,Flow Score,Model Flag,Time Gap (sec),Scale Zone,Flow Diagnostic,Pour Delay Window,Scale Time Window,Scale Offset,Drift Delta (sec),Shot Drift Status,Shot Quality Score,Shot Tier,Perfect Range Flag,Drift Warning,Hopper Zone,Hopper Drift Link,Hopper Impact Score,Hopper Correction Rule,Action Suggestion,Scale Calibration Reminder,Bag Calibration Reminder,Calculation,Baseline Unaided Output (g),Baseline Output Delta (g),Actual Dose Error (g),Hopper Threshold Flag,Hopper Behaviour,Hopper Severity,Top-Up Gap (g),Top-Up Recommendation,Grinder Initial Output for Charts (16-19g)
2026-04-21 4:40am,2,,3.50,checked,7.0,,,,,,,,,,None,,,95,9,39,34,35.4,,checked,7.00,7.00,0.00,7.00,checked,,,,,Good,,Good,,,0,1,"Caramel coats the mouth on entry and cocoa becomes clearly identifiable as the shot cools. The cocoa note is pleasant at first, but later becomes darker, rougher, and slightly muddy. A localized cloud of taste lingers on the upper palate, reducing clarity and refinement. No real dryness, but the finish is less clean and polished than preferred.",7.00,,2026-04-20,Phase 1,100.00%,100.00%,75–100%,75–100%,"""MH Bag 2 Apr 21 2026
""",,Center,3,,0.0%,79%,,5,Slow,Normal,7 / 8 / 10,27 / 31.9 / 35,2,2,Adjust — Grind coarser,58.7%,Outside,,Drifting,High,Check Other Factors,0,No hopper correction,Grind coarser,,,Sweet Zone,18.0,,,,,,,,
2026-04-21 11:56am,2,,3.50,,7.0,,,,,,,,,,None,,,94,10,39,33,34.9,,,,,,,,,,,,Experimental,,Good,,,0,,"Accidental overrun due to hand slip during stop. Intended stop was around 31.5 g, but the shot extended to 34.9 g. Strong chocolate-bar style entry with clear chocolate character. Extended tail introduced upper-palate dryness and a slight acid edge at the back of the upper mouth. Useful upper extraction boundary reference for this Brazil bag.",,,2026-04-20,Phase 1,94.00%,100.00%,75–100%,,"""MH Bag 2 Apr 21 2026
""",,Outside,1,,67.0%,89%,,6,Slow,Normal,7 / 8 / 10,27 / 31.9 / 35,1,1,Watch,,,,,High,,0,No hopper correction,Review manually,,,Sweet Zone,,,,,,,,,
2026-04-21 5:50pm,2,,3.50,,7.0,,,,,,,,,,None,,,94,9,40,36,33.6,,,8.00,8.00,0.00,8.00,,,,,,Good,,Good,,,0,1,"Rich, creamy body with strong caramel and chocolate integration. Chocolate presents like a dark chocolate bar, well balanced with sweetness. Slight initial acid tinge appears on entry but resolves quickly and does not linger. Full-bodied with a smooth, coating finish and no noticeable dryness or muddiness. Very enjoyable and well-balanced shot. Pour time estimated (~3 seconds faster than prior shot) due to missed direct timing.",8.00,,2026-04-20,Phase 1,90.00%,100.00%,75–100%,75–100%,"""MH Bag 2 Apr 21 2026
""",,Edge,2,,33.0%,59%,,4,Slow,Slow,7 / 8 / 10,27 / 31.9 / 35,4,4,Adjust — Grind coarser,64.3%,Outside,,Drifting,High,Check Other Factors,0,No hopper correction,Grind coarser,,,Sweet Zone,18.0,,,,,,,,
2026-04-22 5:02am,2,,3.66,checked,6.9,,,,,,,,,,None,,,94,8,40,33,33.0,,checked,9.40,9.70,-0.30,9.58,checked,,,,,Good,,Good,,,0,1,"Very smooth, creamy body with excellent caramel and chocolate integration. Chocolate presents as a soft dark chocolate note that lingers lightly on the palate without harshness. Balanced and refined, with a clean finish and no negative dryness or buildup. Very pleasant and highly enjoyable. Pour time estimated (~3 seconds faster than prior shot). When adjusting dose got .8g in .2 sec so had to adjust downward hence why in table you have dose of 18g yet adj was -.4",9.40,,2026-04-20,Phase 1,86.00%,100.00%,75–100%,75–100%,"""MH Bag 2 Apr 21 2026
""",,Center,3,,0.0%,89%,,7,Slow,Normal,7 / 8 / 10,27 / 31.9 / 35,1,1,Watch,73.7%,Edge,,Drifting,High,Check Other Factors,0,No hopper correction,Review manually,,,Sweet Zone,18.0,,,,,,,,
2026-04-22 11:41am,2,,3.66,,6.9,,,,,,,,,,None,,,93,,,33,33.7,,,,,,,,,,,,Experimental,,Good,,,0,,"Incomplete record intentionally kept for grind tracking. PF/grouphead seal leaked water, so pour data and full sensory evaluation are incomplete. User wants this kept for grind and bean-usage tracking. Dose corrected from 18.3 g to 18.0 g by removing 0.3 g from final basket dose.",,,2026-04-20,Phase 1,80.00%,100.00%,75–100%,,"""MH Bag 2 Apr 21 2026
""",,Outside,1,,67.0%,89%,,,Slow,Normal,7 / 8 / 10,27 / 31.9 / 35,1,1,Watch,,,,,High,,0,No hopper correction,Review manually,,,Outside,,,,,,,,,
2026-04-22 12:00pm,2,,3.66,checked,6.9,,,,,,,,,,None,,,93,7,36,32,32.6,,,8.30,8.00,0.30,8.12,checked,,,,,Good,,Good,,,0,1,"Immediate chocolate entry with strong body and a dark chocolate character. A stronger pucker appears between the center and back of the tongue, but some of it clears rather than building continuously. As the shot warms, the center no longer reads as sour, but instead as a strong, less-refined dark chocolate profile. Pleasant overall, but still slightly too forceful and not yet fully polished. First shot using 1 mm puck screen after switching from 1.7 mm. Switching back to 1.7 mm puck screen as of now",8.30,,2026-04-20,Phase 1,74.00%,100.00%,50–75%,50–75%,"""MH Bag 2 Apr 21 2026
""",,Center,3,,0.0%,99%,,4,Slow,Normal,7 / 8 / 10,27 / 31.9 / 35,0,0,Stable,71.2%,Edge,,Drifting,Mid-High,Check Other Factors,0,No hopper correction,No change,,,Sweet Zone,18.0,,,,,,,,
2026-04-22 5:34pm,2,,3.66,,7.0,,,,,,,,,,None,,,93,9,38,9,33.3,,,,,,,,,,,,Maintenance - Machine,,Maintenance - Espresso Machine,,,0,,Now using 1.7 mm puck screen going forward,,,2026-04-20,Phase 1,70.00%,100.00%,50–75%,50–75%,"""MH Bag 2 Apr 21 2026
""",,Outside,1,,67.0%,0%,,29,Slow,Fast,7 / 8 / 10,27 / 31.9 / 35,-23,-23,Adjust — Grind finer,,,,,Mid-High,,7,No hopper correction,Grind finer,,,Sweet Zone,18.0,,,,,,,,
2026-04-23 5:15am,2,,3.66,,7.0,,,,,,,,,,None,,,93,10,39,32,33.1,,checked,8.50,8.00,0.50,8.20,checked,,,,,Dialed In,,Good,,,0,1,,8.50,,2026-04-20,Phase 1,65.10%,100.00%,50–75%,50–75%,"""MH Bag 2 Apr 21 2026
""",,Center,3,,0.0%,99%,,7,Slow,Normal,7 / 8 / 10,27 / 31.9 / 35,0,0,Stable,72.2%,Edge,,Drifting,Mid-High,Check Other Factors,0,No hopper correction,No change,,,Sweet Zone,18.0,,,,,,,,
2026-04-24 4:00am,2,,3.66,,7.1,,,,,,,,,,None,,,94,7,34,33,33.8,,checked,9.40,9.40,0.00,9.40,checked,,,,,Dialed In,,Good,,,0,1,"Highly stable and smooth entry with a caramel-forward profile supported by a very light acidity that enhances clarity without sharpness. The mouthfeel is cohesive and balanced. A creamy chocolate body develops and envelops the palate, integrating fully without muddiness. As the shot progresses, caramel gently recedes and a more defined dark chocolate character emerges, creating a structured and intentional transition. The finish is clean and resolving, leaving only a subtle and pleasant reminder of the experience. This is the best expression of this coffee so far and represents the target profile for this bag.",9.40,,2026-04-20,Phase 1,60.00%,100.00%,50–75%,50–75%,"""MH Bag 2 Apr 21 2026
""",,Center,3,,0.0%,89%,,1,Slow,Normal,7 / 8 / 10,27 / 31.9 / 35,1,1,Watch,73.7%,Edge,,Drifting,Mid-High,Check Other Factors,0,No hopper correction,Review manually,,,Sweet Zone,18.0,,,,,,,,
2026-04-24 11:00am,2,,3.66,,6.9,,,,,,,,,,None,,,94,,43,,33.7,,,8.00,8.00,0.00,8.00,checked,,,,,Dialed In,,Good,,,0,1,"Recovered entry — pour stats partially lost during logging. Remaining data entered from memory.

Caramel-forward entry with strong chocolate presence. Very smooth, stable, and cohesive mouthfeel with a creamy, coating texture. Chocolate deepens as the shot progresses while caramel gently recedes, creating a structured transition.

Finish is clean and resolving with a light lingering presence and a subtle refreshing quality. Despite a longer extraction time, the shot remained highly enjoyable and balanced, indicating a forgiving upper extraction boundary at this grind setting.
Remains dialed-in with strong structure and clean finish. As the shot cools, a slight sour edge emerges between the tongue and upper palate, indicating a minor exposure of acidity at the upper boundary of extraction.
Dialed-In, slightly pushed, slight acidity exposure on cooling = upper limit of your sweet spot",8.00,,2026-04-20,Phase 1,55.04%,100.00%,50–75%,50–75%,"""MH Bag 2 Apr 21 2026
""",,Review,0,,100.0%,,,,,,7 / 8 / 10,27 / 31.9 / 35,,,,,,,,Mid-High,,,No hopper correction,Review manually,,,Outside,18.0,,,,,,,,
